Filename,Sample ID,A01,Array Barcode
a550995-4464489-072424-016_F03.ARR,,9SR37894,016
a550995-4464489-072424-016_F04.ARR,,9SR37894,016
a550995-4464489-072424-016_F05.ARR,,9SR37894,016
a550995-4464489-072424-016_F06.ARR,,9SR37894,016
a550995-4464489-072424-016_F07.ARR,,9SR37894,016
a550995-4464489-072424-016_F08.ARR,,9SR37894,016
a550995-4464489-072424-016_F09.ARR,,9SR37894,016
a550995-4464489-072424-016_F10.ARR,,9SR37894,016
a550995-4464489-072424-016_F11.ARR,,9SR37894,016
a550995-4464489-072424-016_F12.ARR,,9SR37894,016
a550995-4464489-072424-016_G01.ARR,,9SR37894,016
a550995-4464489-072424-016_G02.ARR,,9SR37894,016
a550995-4464489-072424-016_G03.ARR,,9SR37894,016
a550995-4464489-072424-016_G04.ARR,,9SR37894,016
a550995-4464489-072424-016_G05.ARR,,9SR37894,016
a550995-4464489-072424-016_G06.ARR,,9SR37894,016
a550995-4464489-072424-016_G07.ARR,,9SR37894,016
a550995-4464489-072424-016_G08.ARR,,9SR37894,016
a550995-4464489-072424-016_G09.ARR,,9SR37894,016
a550995-4464489-072424-016_G10.ARR,,9SR37894,016
a550995-4464489-072424-016_G11.ARR,,9SR37894,016
a550995-4464489-072424-016_G12.ARR,,9SR37894,016
a550995-4464489-072424-016_H01.ARR,,9SR37894,016
a550995-4464489-072424-016_H02.ARR,,9SR37894,016
a550995-4464489-072424-016_H03.ARR,,9SR37894,016
a550995-4464489-072424-016_H04.ARR,,9SR37894,016
a550995-4464489-072424-016_H05.ARR,,9SR37894,016
a550995-4464489-072424-016_H06.ARR,,9SR37894,016
a550995-4464489-072424-016_H07.ARR,,9SR37894,016
a550995-4464489-072424-016_H08.ARR,,9SR37894,016
a550995-4464489-072424-016_H09.ARR,,9SR37894,016
a550995-4464489-072424-016_H10.ARR,,9SR37894,016
a550995-4464489-072424-016_H11.ARR,,9SR37894,016
a550995-4464489-072424-016_H12.ARR,,9SR37894,016
a550995-4464489-072424-019_A01.ARR,,9SR37899,019
a550995-4464489-072424-019_A02.ARR,,9SR37899,019
a550995-4464489-072424-019_A03.ARR,,9SR37899,019
a550995-4464489-072424-019_A04.ARR,,9SR37899,019
a550995-4464489-072424-019_A05.ARR,,9SR37899,019
a550995-4464489-072424-019_A06.ARR,,9SR37899,019
a550995-4464489-072424-019_A07.ARR,,9SR37899,019
a550995-4464489-072424-019_A08.ARR,,9SR37899,019
a550995-4464489-072424-019_A09.ARR,,9SR37899,019
a550995-4464489-072424-019_A10.ARR,,9SR37899,019
a550995-4464489-072424-019_A11.ARR,,9SR37899,019
a550995-4464489-072424-019_A12.ARR,,-,019
a550995-4464489-072424-019_B01.ARR,,9SR37899,019
a550995-4464489-072424-019_B02.ARR,,9SR37899,019
a550995-4464489-072424-019_B03.ARR,,9SR37899,019
a550995-4464489-072424-019_B04.ARR,,9SR37899,019
a550995-4464489-072424-019_B05.ARR,,9SR37899,019
a550995-4464489-072424-019_B06.ARR,,9SR37899,019
a550995-4464489-072424-019_B07.ARR,,9SR37899,019
a550995-4464489-072424-019_B08.ARR,,9SR37899,019
a550995-4464489-072424-019_B09.ARR,,9SR37899,019
a550995-4464489-072424-019_B10.ARR,,9SR37899,019
a550995-4464489-072424-019_B11.ARR,,9SR37899,019
a550995-4464489-072424-019_B12.ARR,,9SR37899,019
a550995-4464489-072424-019_C01.ARR,,9SR37899,019
a550995-4464489-072424-019_C02.ARR,,9SR37899,019
a550995-4464489-072424-019_C03.ARR,,9SR37899,019
a550995-4464489-072424-019_C04.ARR,,9SR37899,019
a550995-4464489-072424-019_C05.ARR,,9SR37899,019
a550995-4464489-072424-019_C06.ARR,,9SR37899,019
a550995-4464489-072424-019_C07.ARR,,9SR37899,019
a550995-4464489-072424-019_C08.ARR,,9SR37899,019
a550995-4464489-072424-019_C09.ARR,,9SR37899,019
a550995-4464489-072424-019_C10.ARR,,9SR37899,019
a550995-4464489-072424-019_C11.ARR,,9SR37899,019
a550995-4464489-072424-019_C12.ARR,,9SR37899,019
a550995-4464489-072424-019_D01.ARR,,9SR37899,019
a550995-4464489-072424-019_D02.ARR,,9SR37899,019
a550995-4464489-072424-019_D03.ARR,,9SR37899,019
a550995-4464489-072424-019_D04.ARR,,9SR37899,019
a550995-4464489-072424-019_D05.ARR,,9SR37899,019
a550995-4464489-072424-019_D06.ARR,,9SR37899,019
a550995-4464489-072424-019_D07.ARR,,9SR37899,019
a550995-4464489-072424-019_D08.ARR,,9SR37899,019
a550995-4464489-072424-019_D09.ARR,,9SR37899,019
a550995-4464489-072424-019_D10.ARR,,9SR37899,019
a550995-4464489-072424-019_D11.ARR,,9SR37899,019
a550995-4464489-072424-019_D12.ARR,,9SR37899,019
a550995-4464489-072424-019_E01.ARR,,9SR37899,019
a550995-4464489-072424-019_E02.ARR,,9SR37899,019
a550995-4464489-072424-019_E03.ARR,,9SR37899,019
a550995-4464489-072424-019_E04.ARR,,9SR37899,019
a550995-4464489-072424-019_E05.ARR,,9SR37899,019
a550995-4464489-072424-019_E06.ARR,,9SR37899,019
a550995-4464489-072424-019_E07.ARR,,9SR37899,019
a550995-4464489-072424-019_E08.ARR,,9SR37899,019
a550995-4464489-072424-019_E09.ARR,,9SR37899,019
a550995-4464489-072424-019_E10.ARR,,9SR37899,019
a550995-4464489-072424-019_E11.ARR,,9SR37899,019
a550995-4464489-072424-019_E12.ARR,,-,019
a550995-4464489-072424-019_F01.ARR,,9SR37899,019
a550995-4464489-072424-019_F03.ARR,,9SR37899,019
a550995-4464489-072424-019_F04.ARR,,9SR37899,019
a550995-4464489-072424-019_F05.ARR,,9SR37899,019
a550995-4464489-072424-019_F06.ARR,,9SR37899,019
a550995-4464489-072424-019_F07.ARR,,9SR37899,019
a550995-4464489-072424-019_F08.ARR,,9SR37899,019
a550995-4464489-072424-019_F09.ARR,,9SR37899,019
a550995-4464489-072424-019_F10.ARR,,9SR37899,019
a550995-4464489-072424-019_F11.ARR,,9SR37899,019
a550995-4464489-072424-019_F12.ARR,,9SR37899,019
a550995-4464489-072424-019_G01.ARR,,9SR37899,019
a550995-4464489-072424-019_G02.ARR,,9SR37899,019
a550995-4464489-072424-019_G03.ARR,,9SR37899,019
a550995-4464489-072424-019_G04.ARR,,9SR37899,019
a550995-4464489-072424-019_G05.ARR,,9SR37899,019
a550995-4464489-072424-019_G06.ARR,,9SR37899,019
a550995-4464489-072424-019_G07.ARR,,9SR37899,019
a550995-4464489-072424-019_G08.ARR,,9SR37899,019
a550995-4464489-072424-019_G09.ARR,,9SR37899,019
a550995-4464489-072424-019_G10.ARR,,9SR37899,019
a550995-4464489-072424-019_G11.ARR,,9SR37899,019
a550995-4464489-072424-019_G12.ARR,,9SR37899,019
a550995-4464489-072424-019_H01.ARR,,9SR37899,019
a550995-4464489-072424-019_H02.ARR,,9SR37899,019
a550995-4464489-072424-019_H03.ARR,,9SR37899,019
a550995-4464489-072424-019_H04.ARR,,9SR37899,019
a550995-4464489-072424-019_H05.ARR,,9SR37899,019
a550995-4464489-072424-019_H06.ARR,,9SR37899,019
a550995-4464489-072424-019_H07.ARR,,9SR37899,019
a550995-4464489-072424-019_H08.ARR,,9SR37899,019
a550995-4464489-072424-019_H09.ARR,,9SR37899,019
a550995-4464489-072424-019_H10.ARR,,9SR37899,019
a550995-4464489-072424-019_H12.ARR,,9SR37899,019
a550995-4464489-072424-020_A01.ARR,,9SR37891,020
a550995-4464489-072424-020_A02.ARR,,9SR37891,020
a550995-4464489-072424-020_A03.ARR,,9SR37891,020
a550995-4464489-072424-020_A04.ARR,,9SR37891,020
a550995-4464489-072424-020_A05.ARR,,9SR37891,020
a550995-4464489-072424-020_A06.ARR,,9SR37891,020
a550995-4464489-072424-020_A07.ARR,,9SR37891,020
a550995-4464489-072424-020_A08.ARR,,9SR37891,020
a550995-4464489-072424-020_A09.ARR,,9SR37891,020
a550995-4464489-072424-020_A10.ARR,,9SR37891,020
a550995-4464489-072424-020_A11.ARR,,9SR37891,020
a550995-4464489-072424-020_A12.ARR,,-,020
a550995-4464489-072424-020_B01.ARR,,9SR37891,020
a550995-4464489-072424-020_B02.ARR,,9SR37891,020
a550995-4464489-072424-020_B03.ARR,,9SR37891,020
a550995-4464489-072424-020_B04.ARR,,9SR37891,020
a550995-4464489-072424-020_B05.ARR,,9SR37891,020
a550995-4464489-072424-020_B06.ARR,,9SR37891,020
a550995-4464489-072424-020_B07.ARR,,9SR37891,020
a550995-4464489-072424-020_B08.ARR,,9SR37891,020
a550995-4464489-072424-020_B09.ARR,,9SR37891,020
a550995-4464489-072424-020_B10.ARR,,9SR37891,020
a550995-4464489-072424-020_B11.ARR,,9SR37891,020
a550995-4464489-072424-020_B12.ARR,,9SR37891,020
a550995-4464489-072424-020_C01.ARR,,9SR37891,020
a550995-4464489-072424-020_C02.ARR,,9SR37891,020
a550995-4464489-072424-020_C03.ARR,,9SR37891,020
a550995-4464489-072424-020_C04.ARR,,9SR37891,020
a550995-4464489-072424-020_C05.ARR,,9SR37891,020
a550995-4464489-072424-020_C06.ARR,,9SR37891,020
a550995-4464489-072424-020_C07.ARR,,9SR37891,020
a550995-4464489-072424-020_C08.ARR,,9SR37891,020
a550995-4464489-072424-020_C09.ARR,,9SR37891,020
a550995-4464489-072424-020_C10.ARR,,9SR37891,020
a550995-4464489-072424-020_C11.ARR,,9SR37891,020
a550995-4464489-072424-020_C12.ARR,,9SR37891,020
a550995-4464489-072424-020_D01.ARR,,9SR37891,020
a550995-4464489-072424-020_D02.ARR,,9SR37891,020
a550995-4464489-072424-020_D03.ARR,,9SR37891,020
a550995-4464489-072424-020_D04.ARR,,9SR37891,020
a550995-4464489-072424-020_D05.ARR,,9SR37891,020
a550995-4464489-072424-020_D06.ARR,,9SR37891,020
a550995-4464489-072424-020_D07.ARR,,9SR37891,020
a550995-4464489-072424-020_D08.ARR,,9SR37891,020
a550995-4464489-072424-020_D09.ARR,,9SR37891,020
a550995-4464489-072424-020_D10.ARR,,9SR37891,020
a550995-4464489-072424-020_D11.ARR,,9SR37891,020
a550995-4464489-072424-020_D12.ARR,,9SR37891,020
a550995-4464489-072424-020_E01.ARR,,9SR37891,020
a550995-4464489-072424-020_E02.ARR,,9SR37891,020
a550995-4464489-072424-020_E03.ARR,,9SR37891,020
a550995-4464489-072424-020_E04.ARR,,9SR37891,020
a550995-4464489-072424-020_E05.ARR,,9SR37891,020
a550995-4464489-072424-020_E06.ARR,,9SR37891,020
a550995-4464489-072424-020_E07.ARR,,9SR37891,020
a550995-4464489-072424-020_E08.ARR,,9SR37891,020
a550995-4464489-072424-020_E09.ARR,,9SR37891,020
a550995-4464489-072424-020_E10.ARR,,9SR37891,020
a550995-4464489-072424-020_E11.ARR,,9SR37891,020
a550995-4464489-072424-020_E12.ARR,,-,020
a550995-4464489-072424-020_F01.ARR,,9SR37891,020
a550995-4464489-072424-020_F02.ARR,,9SR37891,020
a550995-4464489-072424-020_F03.ARR,,9SR37891,020
a550995-4464489-072424-020_F04.ARR,,9SR37891,020
a550995-4464489-072424-020_F05.ARR,,9SR37891,020
a550995-4464489-072424-020_F06.ARR,,9SR37891,020
a550995-4464489-072424-020_F07.ARR,,9SR37891,020
a550995-4464489-072424-020_F08.ARR,,9SR37891,020
a550995-4464489-072424-020_F09.ARR,,9SR37891,020
a550995-4464489-072424-020_F10.ARR,,9SR37891,020
a550995-4464489-072424-020_F11.ARR,,9SR37891,020
a550995-4464489-072424-020_F12.ARR,,9SR37891,020
a550995-4464489-072424-020_G01.ARR,,9SR37891,020
a550995-4464489-072424-020_G02.ARR,,9SR37891,020
a550995-4464489-072424-020_G03.ARR,,9SR37891,020
a550995-4464489-072424-020_G04.ARR,,9SR37891,020
a550995-4464489-072424-020_G05.ARR,,9SR37891,020
a550995-4464489-072424-020_G06.ARR,,9SR37891,020
a550995-4464489-072424-020_G07.ARR,,9SR37891,020
a550995-4464489-072424-020_G08.ARR,,9SR37891,020
a550995-4464489-072424-020_G09.ARR,,9SR37891,020
a550995-4464489-072424-020_G10.ARR,,9SR37891,020
a550995-4464489-072424-020_G11.ARR,,9SR37891,020
a550995-4464489-072424-020_G12.ARR,,9SR37891,020
a550995-4464489-072424-020_H01.ARR,,9SR37891,020
a550995-4464489-072424-020_H02.ARR,,9SR37891,020
a550995-4464489-072424-020_H03.ARR,,9SR37891,020
a550995-4464489-072424-020_H04.ARR,,9SR37891,020
a550995-4464489-072424-020_H05.ARR,,9SR37891,020
a550995-4464489-072424-020_H06.ARR,,9SR37891,020
a550995-4464489-072424-020_H07.ARR,,9SR37891,020
a550995-4464489-072424-020_H08.ARR,,9SR37891,020
a550995-4464489-072424-020_H09.ARR,,9SR37891,020
a550995-4464489-072424-020_H10.ARR,,9SR37891,020
a550995-4464489-072424-020_H11.ARR,,9SR37891,020
a550995-4464489-072424-020_H12.ARR,,9SR37891,020
a550995-4464489-072424-021_A01.ARR,,9SR37898,021
a550995-4464489-072424-021_A02.ARR,,9SR37898,021
a550995-4464489-072424-021_A03.ARR,,9SR37898,021
a550995-4464489-072424-021_A04.ARR,,9SR37898,021
a550995-4464489-072424-021_A05.ARR,,9SR37898,021
a550995-4464489-072424-021_A06.ARR,,9SR37898,021
a550995-4464489-072424-021_A07.ARR,,9SR37898,021
a550995-4464489-072424-021_A08.ARR,,9SR37898,021
a550995-4464489-072424-021_A09.ARR,,9SR37898,021
a550995-4464489-072424-021_A10.ARR,,9SR37898,021
a550995-4464489-072424-021_A11.ARR,,9SR37898,021
a550995-4464489-072424-021_A12.ARR,,-,021
a550995-4464489-072424-021_B01.ARR,,9SR37898,021
a550995-4464489-072424-021_B02.ARR,,9SR37898,021
a550995-4464489-072424-021_B03.ARR,,9SR37898,021
a550995-4464489-072424-021_B04.ARR,,9SR37898,021
a550995-4464489-072424-021_B05.ARR,,9SR37898,021
a550995-4464489-072424-021_B06.ARR,,9SR37898,021
a550995-4464489-072424-021_B07.ARR,,9SR37898,021
a550995-4464489-072424-021_B08.ARR,,9SR37898,021
a550995-4464489-072424-021_B09.ARR,,9SR37898,021
a550995-4464489-072424-021_B10.ARR,,9SR37898,021
a550995-4464489-072424-021_B11.ARR,,9SR37898,021
a550995-4464489-072424-021_B12.ARR,,9SR37898,021
a550995-4464489-072424-021_C01.ARR,,9SR37898,021
a550995-4464489-072424-021_C02.ARR,,9SR37898,021
a550995-4464489-072424-021_C03.ARR,,9SR37898,021
a550995-4464489-072424-021_C04.ARR,,9SR37898,021
a550995-4464489-072424-021_C05.ARR,,9SR37898,021
a550995-4464489-072424-021_C06.ARR,,9SR37898,021
a550995-4464489-072424-021_C07.ARR,,9SR37898,021
a550995-4464489-072424-021_C08.ARR,,9SR37898,021
a550995-4464489-072424-021_C09.ARR,,9SR37898,021
a550995-4464489-072424-021_C10.ARR,,9SR37898,021
a550995-4464489-072424-021_C11.ARR,,9SR37898,021
a550995-4464489-072424-021_C12.ARR,,9SR37898,021
a550995-4464489-072424-021_D01.ARR,,9SR37898,021
a550995-4464489-072424-021_D02.ARR,,9SR37898,021
a550995-4464489-072424-021_D03.ARR,,9SR37898,021
a550995-4464489-072424-021_D04.ARR,,9SR37898,021
a550995-4464489-072424-021_D05.ARR,,9SR37898,021
a550995-4464489-072424-021_D06.ARR,,9SR37898,021
a550995-4464489-072424-021_D07.ARR,,9SR37898,021
a550995-4464489-072424-021_D08.ARR,,9SR37898,021
a550995-4464489-072424-021_D09.ARR,,9SR37898,021
a550995-4464489-072424-021_D10.ARR,,9SR37898,021
a550995-4464489-072424-021_D11.ARR,,9SR37898,021
a550995-4464489-072424-021_D12.ARR,,9SR37898,021
a550995-4464489-072424-021_E01.ARR,,9SR37898,021
a550995-4464489-072424-021_E02.ARR,,9SR37898,021
a550995-4464489-072424-021_E03.ARR,,9SR37898,021
a550995-4464489-072424-021_E04.ARR,,9SR37898,021
a550995-4464489-072424-021_E05.ARR,,9SR37898,021
a550995-4464489-072424-021_E06.ARR,,9SR37898,021
a550995-4464489-072424-021_E07.ARR,,9SR37898,021
a550995-4464489-072424-021_E08.ARR,,9SR37898,021
a550995-4464489-072424-021_E09.ARR,,9SR37898,021
a550995-4464489-072424-021_E10.ARR,,9SR37898,021
a550995-4464489-072424-021_E11.ARR,,9SR37898,021
a550995-4464489-072424-021_E12.ARR,,-,021
a550995-4464489-072424-021_F01.ARR,,9SR37898,021
a550995-4464489-072424-021_F02.ARR,,9SR37898,021
a550995-4464489-072424-021_F03.ARR,,9SR37898,021
a550995-4464489-072424-021_F04.ARR,,9SR37898,021
a550995-4464489-072424-021_F05.ARR,,9SR37898,021
a550995-4464489-072424-021_F06.ARR,,9SR37898,021
a550995-4464489-072424-021_F07.ARR,,9SR37898,021
a550995-4464489-072424-021_F08.ARR,,9SR37898,021
a550995-4464489-072424-021_F09.ARR,,9SR37898,021
a550995-4464489-072424-021_F10.ARR,,9SR37898,021
a550995-4464489-072424-021_F11.ARR,,9SR37898,021
a550995-4464489-072424-021_F12.ARR,,9SR37898,021
a550995-4464489-072424-021_G01.ARR,,9SR37898,021
a550995-4464489-072424-021_G02.ARR,,9SR37898,021
a550995-4464489-072424-021_G03.ARR,,9SR37898,021
a550995-4464489-072424-021_G04.ARR,,9SR37898,021
a550995-4464489-072424-021_G05.ARR,,9SR37898,021
a550995-4464489-072424-021_G06.ARR,,9SR37898,021
a550995-4464489-072424-021_G07.ARR,,9SR37898,021
a550995-4464489-072424-021_G08.ARR,,9SR37898,021
a550995-4464489-072424-021_G09.ARR,,9SR37898,021
a550995-4464489-072424-021_G10.ARR,,9SR37898,021
a550995-4464489-072424-021_G11.ARR,,9SR37898,021
a550995-4464489-072424-021_G12.ARR,,9SR37898,021
a550995-4464489-072424-021_H01.ARR,,9SR37898,021
a550995-4464489-072424-021_H02.ARR,,9SR37898,021
a550995-4464489-072424-021_H03.ARR,,9SR37898,021
a550995-4464489-072424-021_H04.ARR,,9SR37898,021
a550995-4464489-072424-021_H05.ARR,,9SR37898,021
a550995-4464489-072424-021_H06.ARR,,9SR37898,021
a550995-4464489-072424-021_H07.ARR,,9SR37898,021
a550995-4464489-072424-021_H08.ARR,,9SR37898,021
a550995-4464489-072424-021_H09.ARR,,9SR37898,021
a550995-4464489-072424-021_H10.ARR,,9SR37898,021
a550995-4464489-072424-021_H11.ARR,,9SR37898,021
a550995-4464489-072424-021_H12.ARR,,9SR37898,021
a550995-4464489-072424-022_A01.ARR,,9SR37897,022
a550995-4464489-072424-022_A02.ARR,,9SR37897,022
a550995-4464489-072424-022_A03.ARR,,9SR37897,022
a550995-4464489-072424-022_A04.ARR,,9SR37897,022
a550995-4464489-072424-022_A05.ARR,,9SR37897,022
a550995-4464489-072424-022_A06.ARR,,9SR37897,022
a550995-4464489-072424-022_A07.ARR,,9SR37897,022
a550995-4464489-072424-022_A08.ARR,,9SR37897,022
a550995-4464489-072424-022_A09.ARR,,9SR37897,022
a550995-4464489-072424-022_A10.ARR,,9SR37897,022
a550995-4464489-072424-022_A11.ARR,,9SR37897,022
a550995-4464489-072424-022_A12.ARR,,-,022
a550995-4464489-072424-022_B01.ARR,,9SR37897,022
a550995-4464489-072424-022_B02.ARR,,9SR37897,022
a550995-4464489-072424-022_B03.ARR,,9SR37897,022
a550995-4464489-072424-022_B04.ARR,,9SR37897,022
a550995-4464489-072424-022_B05.ARR,,9SR37897,022
a550995-4464489-072424-022_B06.ARR,,9SR37897,022
a550995-4464489-072424-022_B07.ARR,,9SR37897,022
a550995-4464489-072424-022_B08.ARR,,9SR37897,022
a550995-4464489-072424-022_B09.ARR,,9SR37897,022
a550995-4464489-072424-022_B10.ARR,,9SR37897,022
a550995-4464489-072424-022_B11.ARR,,9SR37897,022
a550995-4464489-072424-022_B12.ARR,,9SR37897,022
a550995-4464489-072424-022_C01.ARR,,9SR37897,022
a550995-4464489-072424-022_C02.ARR,,9SR37897,022
a550995-4464489-072424-022_C03.ARR,,9SR37897,022
a550995-4464489-072424-022_C04.ARR,,9SR37897,022
a550995-4464489-072424-022_C05.ARR,,9SR37897,022
a550995-4464489-072424-022_C06.ARR,,9SR37897,022
a550995-4464489-072424-022_C07.ARR,,9SR37897,022
a550995-4464489-072424-022_C08.ARR,,9SR37897,022
